STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
KOTHARIPRO,Kothari Products Limited,343,29541.0,0.19,170.33,INCREASING,INCREASING,70.45,2.63,7.18,0.24,SELL,BUY,BUY,0.9,STRONG BUY,False,False,STAY,0.35,1.39,0.0,,-100,,0
KOTYARK,Kotyark Industries Limited,1057,20500.0,1.14,1020.75,DECREASING,INCREASING,44.69,-0.72,48.09,5.06,STAY,BUY,STRONG SELL,0.02,STAY,False,False,STAY,0.47,-0.51,0.0,,-100,,0
KPIGREEN,KPI Green Energy Limited,9181,257999.0,0.9,794.0,NO TREND,INCREASING,50.26,-1.45,28.58,1.66,STAY,BUY,BUY,0.34,STAY,False,False,STAY,0.17,-0.74,0.0,,-100,,0
KPIL,Kalpataru Projects International Limited,17379,575789.0,1.44,1307.0,NO TREND,INCREASING,64.25,3.31,46.67,-1.37,STAY,BUY,BUY,0.04,BUY,False,False,SELL,0.03,1.32,0.0,,-100,,0
KPITTECH,KPIT Technologies Limited,40748,788077.0,0.65,1531.7,INCREASING,INCREASING,62.51,-1.67,45.67,1.3,STAY,BUY,BUY,0.8,STAY,False,False,STAY,0.12,-0.59,0.0,,-200,['HAMMER'],100
KPRMILL,K.P.R. Mill Limited,28454,2620159.0,3.25,1089.75,INCREASING,INCREASING,74.66,10.76,35.48,-11.78,SELL,BUY,BUY,0.99,STRONG BUY,True,False,STAY,0.55,7.01,0.0,['HARAMI'],100,['3INSIDE'],100
KRBL,KRBL Limited,6348,633863.0,0.64,309.85,INCREASING,DECREASING,54.43,-4.34,10.2,1.92,STAY,BUY,BUY,0.74,STRONG BUY,False,False,STAY,0.29,-0.67,0.0,,0,,-100
KREBSBIO,Krebs Biochemicals and Industries Limited,132,1889.0,0.11,106.59,INCREASING,INCREASING,55.8,-1.34,7.61,1.63,STAY,BUY,BUY,0.23,STAY,False,False,STAY,0.54,-3.97,0.0,,-100,,0
KRIDHANINF,Kridhan Infra Limited,43,90684.0,0.06,7.54,NO TREND,INCREASING,76.2,-7.37,0.46,0.95,SELL,BUY,BUY,0.01,STRONG BUY,False,False,STAY,0.8,0.0,-16.31,,-100,"['DOJI', 'DOJISTAR']",200
KRISHANA,Krishana Phoschem Limited,1477,29447.0,1.25,206.48,DECREASING,INCREASING,39.68,-4.06,6.3,-2.16,BUY,BUY,SELL,0.62,STAY,False,False,STAY,-0.35,-3.06,0.0,,-200,,0
KRISHCA,Krishca Strapping Solutions Limited,268,38000.0,1.04,317.25,NO TREND,INCREASING,51.44,-8.51,19.01,-2.89,STAY,BUY,BUY,0.02,STAY,False,False,STAY,-0.38,-5.9,0.0,,-100,,0
KRISHIVAL,Krishival Foods Limited,559,0.0,0.0,275.0,DECREASING,DECREASING,47.42,0.0,2.79,7.69,STAY,SELL,SELL,0.99,STAY,False,True,STAY,0.24,0.0,0.0,['DOJI'],100,['DOJI'],100
KRISHNADEF,Krishna Defence and Allied Industries Limited,434,36000.0,0.68,710.25,DECREASING,INCREASING,59.17,5.12,22.17,-6.19,STAY,BUY,BUY,0.24,STAY,False,False,STAY,0.17,4.45,0.0,,0,,0
KRITI,Kriti Industries (India) Limited,662,33452.0,1.65,164.64,DECREASING,INCREASING,31.05,-2.92,9.14,1.1,BUY,SELL,SELL,0.04,STRONG SELL,False,False,STAY,0.06,-1.41,0.0,"['DOJI', 'LONGLEGGEDDOJI']",-100,,0
KRITIKA,Kritika Wires Limited,446,224236.0,0.56,12.95,NO TREND,INCREASING,48.48,-0.34,0.58,-1.3,STAY,BUY,BUY,0.3,STAY,False,False,STAY,0.57,-0.15,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",200
KRITINUT,Kriti Nutrients Limited,464,118982.0,1.0,136.68,NO TREND,INCREASING,48.34,-3.81,8.17,-0.12,STAY,BUY,BUY,0.42,STAY,False,False,STAY,0.39,-4.02,0.0,,-100,,0
KRSNAA,Krsnaa Diagnostics Limited,1984,75220.0,0.65,925.7,NO TREND,INCREASING,37.26,-0.45,33.69,2.44,BUY,BUY,SELL,0.7,STAY,False,False,STAY,0.35,-0.24,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
KRYSTAL,Krystal Integrated Services Limited,1059,99912.0,1.13,776.85,INCREASING,DECREASING,59.6,-6.22,31.34,-2.44,STAY,BUY,BUY,0.71,STRONG BUY,False,False,STAY,0.34,-2.64,0.0,,0,,0
KSB,Ksb Limited,13421,220110.0,1.81,783.1,INCREASING,INCREASING,37.96,-9.44,24.62,-3.43,BUY,BUY,SELL,0.17,STRONG SELL,False,False,STAY,-0.22,-3.74,0.0,,0,,0
KSCL,Kaveri Seed Company Limited,3485,59209.0,0.98,922.6,NO TREND,INCREASING,51.96,-0.23,36.18,0.67,STAY,BUY,BUY,0.59,STAY,False,False,STAY,-0.18,0.1,0.0,,0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500
KSERASERA,KSS Limited,0,0.0,,0.15,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
KSHITIJPOL,Kshitij Polyline Limited,23,446544.0,0.48,4.91,DECREASING,DECREASING,44.43,0.35,0.25,2.18,STAY,SELL,BUY,0.25,STAY,False,False,STAY,0.72,-1.8,0.0,,0,['HARAMI'],100
KSK,KSK Energy Ventures Limited,0,0.0,,0.55,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
KSL,Kalyani Steels Limited,3737,179637.0,0.84,1050.8,INCREASING,INCREASING,80.88,-1.8,44.53,-1.76,SELL,BUY,BUY,0.95,BUY,False,True,STAY,0.76,0.08,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",200
KSOLVES,Ksolves India Limited,1326,95293.0,1.12,1033.3,NO TREND,INCREASING,64.63,3.94,32.93,-0.18,STAY,BUY,BUY,0.25,STAY,False,False,STAY,0.47,0.32,0.0,,0,"['HIGHWAVE', 'SPINNINGTOP']",200
KTKBANK,The Karnataka Bank Limited,7896,1911975.0,0.98,223.37,NO TREND,INCREASING,58.86,-5.92,5.71,-2.99,STAY,BUY,BUY,0.81,BUY,False,False,STAY,0.45,-0.93,0.0,,0,['HAMMER'],100
KTL,Kalahridhaan Trendz Limited,70,9000.0,0.54,26.8,DECREASING,DECREASING,43.02,-5.26,1.03,-1.28,STAY,SELL,STRONG SELL,0.23,STAY,False,False,STAY,-0.16,-4.29,0.0,['MARUBOZU'],100,,-100
KUANTUM,Kuantum Papers Limited,1348,117241.0,0.5,134.9,NO TREND,DECREASING,53.8,-3.54,6.26,0.51,STAY,BUY,BUY,0.63,STAY,False,False,STAY,-0.17,-0.44,0.0,,-100,"['DOJI', 'LONGLEGGEDDOJI']",0
LAGNAM,Lagnam Spintex Limited,203,14613.0,1.03,124.49,INCREASING,INCREASING,57.63,-8.21,6.71,-1.22,STAY,BUY,BUY,0.59,STRONG BUY,False,False,STAY,0.08,-5.47,0.0,['HARAMI'],100,,-200
LAKPRE,Lakshmi Precision Screws Limited,4,0.0,0.0,6.7,NO TREND,INCREASING,59.19,-0.0,0.24,7.69,STAY,BUY,BUY,0.46,STAY,False,True,STAY,-0.6,0.0,0.0,['DOJI'],100,['DOJI'],100
LAKSHMIEFL,Lakshmi Energy and Foods Limited,0,0.0,,2.5,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
LAL,Lorenzini Apparels Limited,419,158119.0,1.28,24.21,INCREASING,INCREASING,45.82,-7.37,1.45,0.96,STAY,BUY,STRONG SELL,0.21,STAY,False,False,STAY,0.35,-2.65,0.0,"['ENGULFING', 'MARUBOZU']",200,,-100
LALPATHLAB,Dr. Lal Path Labs Ltd.,18889,216833.0,1.11,3000.0,NO TREND,INCREASING,42.84,-3.41,77.37,1.26,STAY,BUY,STRONG SELL,0.0,STAY,False,False,STAY,0.11,-1.58,0.0,,0,,0
LAMBODHARA,Lambodhara Textiles Limited,142,133591.0,0.11,218.31,INCREASING,INCREASING,66.72,-2.66,15.09,3.72,STAY,BUY,BUY,0.97,STRONG BUY,False,False,STAY,0.7,-1.61,0.0,,0,,0
LANCORHOL,Lancor Holdings Limited,303,32035.0,0.41,39.77,DECREASING,DECREASING,51.18,0.39,1.89,1.86,STAY,BUY,BUY,0.19,STAY,False,False,STAY,0.37,-1.58,0.0,,-200,,0
LANDMARK,Landmark Cars Limited,3030,57465.0,1.08,675.1,INCREASING,INCREASING,58.98,-1.94,21.88,2.67,STAY,BUY,BUY,0.44,BUY,False,False,STAY,0.58,-0.7,0.0,,0,['HAMMER'],100
LAOPALA,La Opala RG Limited,3306,99770.0,0.39,347.8,NO TREND,DECREASING,53.99,-2.34,11.27,-0.16,STAY,BUY,BUY,0.17,SELL,False,False,STAY,0.41,-0.91,0.0,,0,,0
LASA,Lasa Supergenerics Limited,110,24604.0,0.44,27.09,NO TREND,NO TREND,54.65,-0.77,1.02,-6.28,STAY,BUY,BUY,0.08,STAY,False,False,STAY,0.55,-3.04,0.0,,0,,0
LATENTVIEW,Latent View Analytics Limited,10454,573270.0,0.5,506.0,NO TREND,INCREASING,64.75,-1.41,15.46,-0.52,STAY,BUY,BUY,0.84,STRONG BUY,False,False,SELL,0.63,-0.4,0.0,,0,,-100
LATTEYS,Latteys Industries Limited,78,91191.0,0.65,34.65,DECREASING,DECREASING,44.95,1.79,1.55,-1.97,STAY,BUY,STRONG BUY,0.42,STAY,False,False,STAY,-0.45,-0.29,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",200
LAURUSLABS,Laurus Labs Limited,21146,1840249.0,0.65,572.7,INCREASING,INCREASING,64.87,3.39,15.34,-1.91,STAY,BUY,BUY,0.89,SELL,False,False,STAY,0.21,2.27,0.0,,0,['ENGULFING'],100
LAWSIKHO,Addictive Learning Technology Limited,337,25500.0,0.79,347.3,DECREASING,INCREASING,33.33,-1.42,19.02,2.35,BUY,SELL,SELL,0.48,STAY,False,False,STAY,-0.45,-3.06,0.0,,-100,,0
LAXMICOT,Laxmi Cotspin Limited,45,28002.0,0.27,32.6,NO TREND,INCREASING,44.96,-1.86,1.66,4.78,STAY,BUY,BUY,0.34,STAY,False,False,STAY,0.07,0.31,0.0,,0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",400
LCCINFOTEC,LCC Infotech Limited,24,192326.0,1.05,10.35,NO TREND,INCREASING,50.85,-6.75,0.56,-4.88,STAY,SELL,STRONG SELL,0.03,STAY,False,False,STAY,0.33,-5.91,0.0,,0,,0
LEEL,LEEL Electricals Limited,0,0.0,,108.1,INCREASING,INCREASING,100.0,0.0,1.85,7.69,SELL,BUY,SELL,0.58,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
LEMERITE,Le Merite Exports Limited,144,16000.0,0.11,256.3,INCREASING,INCREASING,81.81,0.1,7.79,1.77,SELL,BUY,BUY,0.98,STRONG BUY,False,True,STAY,0.32,1.3,0.0,,0,,0
LEMONTREE,Lemon Tree Hotels Limited,10342,9212913.0,1.04,147.7,INCREASING,INCREASING,82.92,0.68,4.22,-6.81,SELL,BUY,BUY,1.0,BUY,False,True,STAY,0.56,0.48,0.0,,0,"['HIGHWAVE', 'SPINNINGTOP']",200
LEXUS,Lexus Granito (India) Limited,65,63650.0,0.46,43.17,NO TREND,DECREASING,43.92,-3.18,2.73,0.92,STAY,BUY,SELL,0.06,STAY,False,False,STAY,0.22,-2.99,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",300,,-100
LFIC,Lakshmi Finance & Industrial Corporation Limited,51,997.0,0.51,236.72,DECREASING,INCREASING,44.91,-1.95,10.32,2.51,STAY,BUY,STRONG SELL,0.37,STAY,False,False,STAY,0.03,-0.91,0.0,,0,,0
LGBBROSLTD,LG Balakrishnan & Bros Limited,3989,19340.0,0.97,1344.6,NO TREND,INCREASING,56.14,-1.95,36.19,-1.56,STAY,BUY,BUY,0.01,STAY,False,False,STAY,-0.57,-0.81,0.0,,0,,-100
LGHL,Laxmi Goldorna House Limited,604,23632.0,0.46,507.55,INCREASING,INCREASING,80.84,-12.21,34.89,0.04,SELL,BUY,BUY,0.98,STRONG BUY,False,True,STAY,0.83,0.45,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",300,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",400
LIBAS,Libas Consumer Products Limited,49,37391.0,0.99,16.81,NO TREND,INCREASING,43.39,-3.75,0.58,1.33,STAY,BUY,STRONG SELL,0.35,STAY,False,False,STAY,-0.44,-1.58,0.0,,-100,,0
LIBERTSHOE,Liberty Shoes Limited,471,17649.0,0.76,481.6,NO TREND,INCREASING,44.31,-4.46,21.64,1.28,STAY,SELL,BUY,0.17,STAY,False,False,STAY,-0.04,-2.82,0.0,,0,,0
LICHSGFIN,LIC Housing Finance Limited,33606,1459183.0,1.51,624.65,NO TREND,INCREASING,45.3,-4.71,14.12,-4.9,STAY,BUY,STRONG SELL,0.33,STAY,False,False,STAY,-0.2,-0.86,0.0,,0,,0
LICI,Life Insurance Corporation Of India,579464,1223534.0,0.65,931.05,NO TREND,INCREASING,46.28,0.87,23.29,0.94,STAY,BUY,SELL,0.46,STAY,False,False,STAY,0.44,0.23,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",300
LIKHITHA,Likhitha Infrastructure Limited,916,75754.0,0.65,388.65,NO TREND,INCREASING,58.61,-3.04,14.63,-1.09,STAY,BUY,BUY,0.75,BUY,False,False,STAY,0.45,-2.23,0.0,,-200,,0
LINC,Linc Limited,764,90993.0,0.98,691.2,INCREASING,INCREASING,67.91,5.33,23.48,-1.04,STAY,BUY,BUY,0.9,STRONG BUY,False,False,STAY,0.72,0.54,0.0,,0,,0
LINCOLN,Lincoln Pharmaceuticals Limited,1173,52374.0,0.33,929.85,INCREASING,INCREASING,76.57,0.91,37.85,1.4,SELL,BUY,BUY,0.81,BUY,False,False,STAY,0.47,0.71,0.0,,0,['HARAMI'],100
LINDEINDIA,Linde India Limited,54657,38437.0,1.28,6742.0,DECREASING,INCREASING,38.28,1.57,197.71,1.9,BUY,SELL,SELL,0.2,STAY,False,False,STAY,-0.21,0.92,0.0,,0,,0
LLOYDS,Lloyds Luxuries Limited,157,9000.0,0.65,108.1,NO TREND,INCREASING,61.88,-9.5,5.07,-0.51,STAY,BUY,BUY,0.94,BUY,False,False,SELL,0.43,-1.82,0.0,,0,['INVERTEDHAMMER'],100
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,5601,6967746.0,1.89,82.0,INCREASING,INCREASING,67.41,4.85,2.81,-3.93,STAY,BUY,BUY,0.9,STRONG BUY,True,False,STAY,0.29,3.82,0.0,,-100,['ENGULFING'],100
LLOYDSME,Lloyds Metals And Energy Limited,30416,475874.0,0.53,1116.85,INCREASING,INCREASING,66.89,2.5,36.45,1.57,STAY,BUY,BUY,0.91,STRONG BUY,False,False,SELL,0.5,1.22,0.0,,0,['HARAMI'],100
LODHA,Macrotech Developers Limited,112951,1451262.0,0.94,1418.05,INCREASING,INCREASING,69.65,-4.49,53.72,-1.52,STAY,BUY,BUY,1.0,BUY,False,False,SELL,0.13,-0.83,0.0,,0,,-100
LOKESHMACH,Lokesh Machines Limited,685,69839.0,0.85,360.7,NO TREND,INCREASING,50.58,-3.02,18.87,2.41,STAY,BUY,BUY,0.0,STAY,False,False,STAY,0.66,-1.18,-7.84,,-100,,0
