STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,51621.0,1.02,225.2,DECREASING,INCREASING,37.37,-2.56,6.18,1.97,BUY,SELL,SELL,0.96,STRONG SELL,False,False,STAY,0.26,-1.23,-3.24,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300,,-100
21STCENMGM,21st Century Management Services Limited,43,6929.0,0.55,95.97,DECREASING,INCREASING,27.76,-1.95,2.34,1.26,BUY,SELL,SELL,0.54,STRONG SELL,False,False,STAY,0.02,0.0,-6.18,,-100,"['DOJI', 'DOJISTAR']",200
360ONE,360 ONE WAM LIMITED,24236,1317472.0,1.61,1132.0,NO TREND,INCREASING,59.34,6.7,42.58,-2.4,STAY,BUY,BUY,0.28,STAY,True,False,STAY,0.13,2.75,0.15,['INVERTEDHAMMER'],100,,0
3IINFOLTD,3i Infotech Limited,667,738357.0,1.72,27.15,DECREASING,DECREASING,42.26,6.83,0.84,-2.81,STAY,BUY,SELL,0.11,STAY,False,False,STAY,-0.03,2.53,0.0,,0,,0
3MINDIA,3M India Limited,35139,5796.0,0.78,31743.3,DECREASING,INCREASING,38.25,-0.02,1023.38,3.26,BUY,SELL,SELL,0.7,SELL,False,False,STAY,-0.2,-0.63,0.0,,-200,,0
3PLAND,3P Land Holdings Limited,48,522964.0,1.3,60.03,INCREASING,INCREASING,73.16,-18.85,4.25,-13.34,SELL,BUY,BUY,1.0,BUY,False,False,STAY,0.86,-12.36,0.0,['MARUBOZU'],100,,-100
5PAISA,5Paisa Capital Limited,1574,18439.0,0.65,493.65,DECREASING,INCREASING,37.53,3.34,19.77,3.96,BUY,BUY,SELL,0.31,STRONG SELL,False,False,STAY,0.85,-0.41,0.0,,0,,-100
63MOONS,63 moons technologies limited,1758,475384.0,1.38,601.45,INCREASING,INCREASING,58.28,4.75,34.22,1.14,STAY,BUY,BUY,0.5,STAY,False,False,STAY,0.04,2.65,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'SPINNINGTOP']",500,['3INSIDE'],100
A2ZINFRA,A2Z Infra Engineering Limited,237,273642.0,0.91,17.34,NO TREND,INCREASING,47.78,3.1,1.03,2.74,STAY,SELL,SELL,0.09,STAY,False,False,STAY,0.55,-1.37,0.0,['SPINNINGTOP'],100,,0
AAATECH,AAA Technologies Limited,105,31519.0,1.77,114.29,DECREASING,INCREASING,46.21,1.95,5.74,1.47,STAY,SELL,SELL,0.17,STRONG SELL,False,False,STAY,-0.2,-0.44,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
AAKASH,Aakash Exploration Services Limited,92,89218.0,0.71,10.59,DECREASING,INCREASING,44.39,-0.86,0.58,4.23,STAY,BUY,SELL,0.27,STAY,False,False,STAY,-0.05,-1.03,0.0,['HARAMI'],100,,0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,63861.0,3.25,57.96,DECREASING,INCREASING,40.94,10.57,3.22,1.1,STAY,BUY,SELL,0.2,STRONG SELL,False,False,STAY,0.21,0.0,1.77,"['HAMMER', 'HARAMI']",200,"['3INSIDE', 'DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",400
AARON,Aaron Industries Limited,273,19127.0,0.23,318.3,INCREASING,INCREASING,59.52,-7.77,18.54,-1.56,STAY,BUY,BUY,1.0,STRONG BUY,False,False,SELL,0.59,-3.21,0.0,,-100,,0
AARTECH,Aartech Solonics Limited,163,541127.0,0.99,76.05,NO TREND,INCREASING,67.84,5.18,3.92,-2.26,STAY,BUY,BUY,0.97,STRONG BUY,False,False,SELL,0.71,5.06,0.0,,0,['ENGULFING'],100
AARTIDRUGS,Aarti Drugs Limited,3992,108440.0,0.93,455.45,DECREASING,INCREASING,28.11,1.8,11.86,1.98,BUY,SELL,SELL,0.8,STRONG SELL,False,False,STAY,-0.33,0.1,0.0,,-100,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500
AARTIIND,Aarti Industries Limited,24126,2083756.0,1.44,452.75,DECREASING,INCREASING,40.83,0.56,15.33,2.45,STAY,SELL,SELL,0.59,STRONG SELL,False,False,STAY,-0.26,-0.03,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
AARTIPHARM,Aarti Pharmalabs Limited,3941,94707.0,0.54,627.5,INCREASING,INCREASING,46.23,0.33,29.93,4.53,STAY,BUY,SELL,0.28,STAY,False,False,STAY,0.08,0.4,0.0,,0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300
AARTISURF,Aarti Surfactants Limited,419,5310.0,0.89,645.25,DECREASING,INCREASING,31.71,5.68,35.46,4.05,BUY,SELL,SELL,0.58,STRONG SELL,False,False,STAY,-0.25,1.89,0.0,,-100,,0
AARVEEDEN,Aarvee Denims & Exports Limited,55,5086.0,0.31,73.99,INCREASING,INCREASING,90.84,0.81,1.57,0.59,SELL,BUY,BUY,0.95,STRONG BUY,False,True,STAY,-0.32,0.0,1.96,['DOJI'],100,['DOJI'],100
AARVI,Aarvi Encon Limited,176,11015.0,0.9,135.32,DECREASING,INCREASING,41.37,1.23,6.03,2.52,STAY,BUY,SELL,0.4,BUY,False,False,STAY,0.38,0.83,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,['ENGULFING'],100
AATMAJ,Aatmaj Healthcare Limited,70,14000.0,0.66,25.4,NO TREND,DECREASING,44.59,2.42,1.22,2.04,STAY,SELL,SELL,0.26,STAY,False,False,STAY,0.63,2.42,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
AAVAS,Aavas Financiers Limited,10412,66914.0,0.86,1671.7,DECREASING,NO TREND,41.91,6.04,35.62,2.77,STAY,BUY,STRONG BUY,0.0,STAY,False,True,STAY,-0.06,0.85,0.0,['GAPSIDESIDEWHITE'],100,,0
ABAN,Aban Offshore Limited,290,38385.0,0.86,63.38,DECREASING,INCREASING,44.93,2.86,2.52,2.03,STAY,BUY,SELL,0.25,STAY,False,False,STAY,0.14,-0.19,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
ABB,ABB India Limited,134791,475275.0,1.05,7496.2,DECREASING,INCREASING,49.1,4.56,230.54,0.23,STAY,STRONG BUY,BUY,0.29,STRONG SELL,False,True,STAY,-0.18,2.27,0.0,['SPINNINGTOP'],100,,0
ABCAPITAL,Aditya Birla Capital Limited,45603,2280656.0,0.61,193.31,DECREASING,INCREASING,40.38,2.56,6.03,2.22,STAY,SELL,SELL,0.33,STRONG SELL,False,False,STAY,0.04,0.49,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,['SPINNINGTOP'],100
ABCOTS,A B Cotspin India Limited,251,0.0,0.0,358.0,DECREASING,INCREASING,44.25,0.0,4.59,7.69,STAY,BUY,BUY,0.56,STAY,False,True,STAY,0.02,0.0,0.0,"['GAPSIDESIDEWHITE', 'DOJI']",200,['DOJI'],100
ABFRL,Aditya Birla Fashion and Retail Limited,19509,4606496.0,1.06,308.9,DECREASING,INCREASING,47.35,1.15,10.05,3.29,STAY,BUY,BUY,0.03,STRONG SELL,False,True,STAY,-0.17,0.46,0.0,,0,,0
ABHISHEK,Abhishek Corporation Limited,0,0.0,,180.0,NO TREND,INCREASING,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
