STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,54999.0,0.87,233.55,DECREASING,INCREASING,37.16,4.67,4.96,0.63,BUY,STRONG BUY,SELL,0.78,STRONG SELL,False,True,STAY,0.24,0.71,0.95,"['DOJI', 'LONGLEGGEDDOJI', 'TRISTAR']",300,['MARUBOZU'],100
21STCENMGM,21st Century Management Services Limited,43,10468.0,0.54,95.5,DECREASING,INCREASING,27.13,-1.95,2.41,0.04,BUY,SELL,SELL,0.73,STRONG SELL,False,True,STAY,-0.1,0.0,0.0,,0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",100
360ONE,360 ONE WAM LIMITED,24236,519178.0,0.66,1115.05,INCREASING,INCREASING,55.09,-2.02,41.57,1.29,STAY,BUY,BUY,0.24,STAY,False,False,SELL,0.1,-0.72,0.0,,0,,0
3IINFOLTD,3i Infotech Limited,667,659846.0,0.94,28.67,NO TREND,DECREASING,55.82,-2.73,1.11,0.93,STAY,BUY,BUY,0.04,STAY,False,False,STAY,0.27,-1.98,0.0,,0,,0
3MINDIA,3M India Limited,35139,6933.0,1.06,32245.3,DECREASING,INCREASING,44.25,1.83,1056.73,2.25,STAY,SELL,SELL,0.63,SELL,False,False,STAY,-0.3,-0.25,0.0,['SPINNINGTOP'],100,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",200
3PLAND,3P Land Holdings Limited,48,258373.0,0.49,61.81,INCREASING,INCREASING,70.94,4.9,4.33,-4.05,SELL,BUY,BUY,1.0,BUY,False,False,STAY,0.85,11.35,0.0,,-200,"['ENGULFING', 'MARUBOZU']",200
5PAISA,5Paisa Capital Limited,1574,19010.0,0.8,491.65,DECREASING,INCREASING,38.49,1.15,16.18,3.79,BUY,SELL,SELL,0.09,STRONG SELL,False,False,STAY,0.66,0.54,0.0,,-100,,0
63MOONS,63 moons technologies limited,1758,592863.0,1.08,663.05,INCREASING,INCREASING,71.0,4.29,30.77,-0.2,SELL,BUY,BUY,0.86,STRONG BUY,False,True,STAY,0.19,2.96,1.94,,0,['MARUBOZU'],100
A2ZINFRA,A2Z Infra Engineering Limited,237,136639.0,0.5,17.07,NO TREND,INCREASING,46.23,2.96,1.05,2.57,STAY,SELL,SELL,0.06,STAY,False,False,STAY,0.6,-0.47,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",500
AAATECH,AAA Technologies Limited,105,18388.0,0.86,115.97,DECREASING,INCREASING,46.78,1.67,5.37,1.39,STAY,BUY,STRONG BUY,0.05,STAY,False,False,STAY,-0.19,1.23,0.0,,0,,0
AAKASH,Aakash Exploration Services Limited,92,120903.0,1.06,10.92,DECREASING,INCREASING,48.56,2.59,0.58,-0.07,STAY,BUY,SELL,0.33,STAY,False,False,STAY,0.02,0.83,0.0,['ENGULFING'],100,"['HIGHWAVE', 'SPINNINGTOP']",200
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,60733.0,1.58,59.74,DECREASING,INCREASING,47.56,5.08,3.2,-1.36,STAY,SELL,STRONG BUY,0.08,STRONG SELL,False,False,STAY,-0.05,1.6,0.0,,0,['SPINNINGTOP'],100
AARON,Aaron Industries Limited,273,12735.0,0.44,325.6,INCREASING,INCREASING,63.03,-1.77,18.76,1.64,STAY,BUY,BUY,1.0,SELL,False,False,SELL,0.51,-0.88,0.0,,0,,-100
AARTECH,Aartech Solonics Limited,163,378336.0,0.55,80.98,INCREASING,INCREASING,74.35,1.58,4.71,0.28,SELL,BUY,BUY,1.0,STRONG BUY,False,True,STAY,0.72,0.52,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
