STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,15271.0,0.55,228.35,DECREASING,INCREASING,28.75,-1.8,8.96,3.7,BUY,SELL,SELL,0.82,STRONG SELL,False,True,STAY,0.26,0.0,-2.04,['DOJI'],100,['DOJI'],100
21STCENMGM,21st Century Management Services Limited,43,2261.0,0.69,109.75,INCREASING,INCREASING,49.75,-3.86,2.29,0.17,STAY,SELL,SELL,0.09,STAY,False,True,STAY,-0.05,0.0,-2.04,['DOJI'],100,['DOJI'],100
360ONE,360 ONE WAM LIMITED,24236,433088.0,1.5,1050.4,NO TREND,INCREASING,52.9,5.49,47.23,-0.97,STAY,BUY,STRONG BUY,0.18,STAY,False,False,STAY,-0.08,4.93,0.0,,0,"['ENGULFING', 'MARUBOZU']",200
3IINFOLTD,3i Infotech Limited,667,312013.0,0.87,26.98,DECREASING,DECREASING,35.92,1.29,0.94,3.93,BUY,BUY,SELL,0.22,STAY,False,False,STAY,-0.06,0.45,0.0,,-100,['HARAMI'],100
3MINDIA,3M India Limited,35139,5692.0,1.18,32466.1,NO TREND,INCREASING,33.54,-4.94,1033.76,-3.56,BUY,SELL,SELL,0.29,SELL,False,False,STAY,0.09,-3.62,0.0,,0,,0
3PLAND,3P Land Holdings Limited,48,27460.0,1.44,44.59,INCREASING,INCREASING,73.33,-0.59,2.39,-2.62,SELL,BUY,BUY,0.61,BUY,False,False,STAY,0.65,-0.91,0.0,,0,,-100
5PAISA,5Paisa Capital Limited,1574,37446.0,0.99,479.4,DECREASING,INCREASING,38.22,0.15,18.65,2.93,BUY,SELL,SELL,0.66,STAY,False,False,STAY,0.79,0.08,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
63MOONS,63 moons technologies limited,1758,604776.0,1.4,572.25,INCREASING,INCREASING,61.28,-0.9,32.84,0.7,STAY,BUY,BUY,0.58,STRONG BUY,False,False,SELL,0.07,3.67,0.0,,0,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,219438.0,0.4,16.68,NO TREND,INCREASING,46.3,-0.75,1.14,2.45,STAY,SELL,SELL,0.0,STAY,False,False,STAY,0.63,-1.94,0.0,,-200,,0
AAATECH,AAA Technologies Limited,105,10039.0,0.13,109.48,DECREASING,INCREASING,38.79,5.32,6.46,2.74,BUY,SELL,SELL,0.21,STRONG SELL,False,False,BUY,-0.25,1.37,0.0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500,,0
AAKASH,Aakash Exploration Services Limited,92,117987.0,0.54,10.75,DECREASING,INCREASING,43.98,3.65,0.64,2.06,STAY,BUY,SELL,0.22,STAY,False,False,STAY,-0.01,0.0,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,35447.0,1.46,55.56,DECREASING,INCREASING,32.11,-3.58,3.59,-3.31,BUY,SELL,SELL,0.19,STRONG SELL,False,False,STAY,0.14,-3.88,0.0,,0,,0
AARON,Aaron Industries Limited,273,10854.0,0.47,289.25,INCREASING,INCREASING,61.36,-6.16,12.82,-2.39,STAY,BUY,BUY,0.64,STRONG BUY,False,False,SELL,0.49,-2.35,0.0,,0,,0
