STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
TALWGYM,Talwalkars Healthclubs Limited,0,0.0,,1.05,NO TREND,NO TREND,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
TANLA,Tanla Platforms Limited,11021,56604.0,0.1,739.05,DECREASING,INCREASING,59.22,3.8,23.17,3.26,STAY,BUY,BUY,0.19,STAY,False,False,STAY,0.07,1.42,0.0,['HARAMI'],100,"['3INSIDE', 'MARUBOZU']",200
TAPIFRUIT,Tapi Fruit Processing Limited,51,1500.0,0.91,104.75,DECREASING,DECREASING,46.41,0.67,1.93,6.7,STAY,BUY,BUY,0.66,STRONG SELL,False,True,STAY,-0.32,0.0,0.24,['MARUBOZU'],100,['DOJI'],0
TARACHAND,Tara Chand InfraLogistic Solutions Limited,258,23970.0,0.09,79.55,DECREASING,INCREASING,42.84,1.1,5.71,5.0,STAY,SELL,SELL,0.0,STAY,False,False,STAY,0.27,-1.43,0.0,,-100,,0
TARAPUR,Tarapur Transformers Limited,15,7930.0,0.29,41.73,INCREASING,INCREASING,83.29,2.68,1.15,-5.55,SELL,BUY,BUY,1.0,STRONG BUY,False,True,STAY,-0.12,0.0,4.74,['DOJI'],100,['DOJI'],100
TARC,TARC Limited,4123,7444.0,0.03,226.2,NO TREND,INCREASING,57.56,1.38,9.6,4.95,STAY,BUY,BUY,0.0,STAY,False,False,STAY,-0.05,0.78,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400,,0
TARMAT,Tarmat Limited,189,18770.0,0.17,86.2,NO TREND,INCREASING,70.28,5.05,4.16,-0.31,SELL,BUY,BUY,0.4,SELL,False,True,STAY,0.27,2.13,0.0,,0,,0
TARSONS,Tarsons Products Limited,2094,9813.0,0.2,458.5,NO TREND,DECREASING,74.01,2.45,15.53,1.28,SELL,BUY,BUY,0.89,BUY,False,False,STAY,-0.08,-0.26,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
TASTYBITE,Tasty Bite Eatables Limited,3172,150.0,0.07,10876.65,DECREASING,NO TREND,40.72,3.36,423.26,5.27,STAY,SELL,SELL,0.8,STRONG SELL,False,False,STAY,-0.01,0.52,0.0,"['DOJI', 'LONGLEGGEDDOJI']",100,,0
TATACHEM,Tata Chemicals Limited,27536,10311.0,0.03,1117.95,NO TREND,INCREASING,56.8,-0.46,30.17,5.75,STAY,BUY,BUY,0.02,STAY,False,False,STAY,0.03,-0.0,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",0
