STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,12696.0,0.35,237.75,DECREASING,INCREASING,28.44,-1.79,8.58,3.34,BUY,SELL,SELL,0.65,STRONG SELL,False,True,STAY,0.24,0.0,-6.2,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",200,['DOJI'],100
21STCENMGM,21st Century Management Services Limited,43,2778.0,0.29,114.28,INCREASING,INCREASING,54.32,-4.44,2.17,7.69,STAY,SELL,STRONG SELL,0.37,STAY,False,False,STAY,-0.02,0.0,0.0,"['DOJI', 'DOJISTAR']",200,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",400
360ONE,360 ONE WAM LIMITED,24236,101101.0,0.47,1049.1,NO TREND,INCREASING,52.43,-0.34,43.62,3.24,STAY,BUY,SELL,0.19,STAY,False,False,STAY,-0.21,-0.58,0.0,['SPINNINGTOP'],100,,0
3IINFOLTD,3i Infotech Limited,667,168257.0,0.4,28.05,DECREASING,DECREASING,39.37,-0.7,1.04,5.25,BUY,BUY,BUY,0.0,STAY,False,False,STAY,0.19,-0.71,0.0,['HAMMER'],100,,0
3MINDIA,3M India Limited,35139,3437.0,0.98,35047.75,NO TREND,INCREASING,51.56,0.69,894.67,-1.87,STAY,BUY,BUY,0.28,STAY,False,False,STAY,0.16,-0.71,0.0,,0,['HARAMI'],0
3PLAND,3P Land Holdings Limited,48,13209.0,0.95,44.59,INCREASING,INCREASING,75.47,2.58,2.24,3.1,SELL,BUY,BUY,0.52,BUY,False,False,SELL,0.5,0.09,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'HIGHWAVE', 'SPINNINGTOP']",600
5PAISA,5Paisa Capital Limited,1574,16716.0,0.48,492.0,DECREASING,INCREASING,39.21,-0.23,19.75,3.0,BUY,SELL,SELL,0.56,STAY,False,False,STAY,0.79,-0.2,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI']",100
63MOONS,63 moons technologies limited,1758,96266.0,0.43,617.6,INCREASING,INCREASING,69.08,3.36,32.39,0.71,STAY,BUY,BUY,1.0,STRONG BUY,False,False,STAY,0.03,0.0,4.76,['DOJI'],100,['DOJI'],100
A2ZINFRA,A2Z Infra Engineering Limited,237,200087.0,0.31,17.84,NO TREND,INCREASING,51.01,-4.83,1.1,1.41,STAY,BUY,BUY,0.01,STAY,False,False,SELL,0.63,-4.09,-12.28,,0,,-100
AAATECH,AAA Technologies Limited,105,17956.0,0.28,113.82,DECREASING,INCREASING,37.62,-0.22,5.81,1.11,BUY,BUY,SELL,0.14,STAY,False,False,STAY,-0.24,-2.22,0.0,,0,,0
AAKASH,Aakash Exploration Services Limited,92,168705.0,0.84,11.16,DECREASING,INCREASING,46.24,0.52,0.65,-0.77,STAY,BUY,SELL,0.02,STAY,False,False,STAY,0.21,1.0,0.0,,0,,0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,16112.0,1.02,61.0,DECREASING,INCREASING,40.63,-5.65,3.34,-3.1,STAY,BUY,STRONG SELL,0.16,STAY,False,False,STAY,0.43,-5.28,0.0,,0,,-100
AARON,Aaron Industries Limited,273,29365.0,1.76,295.55,INCREASING,INCREASING,68.63,3.12,11.36,-3.11,STAY,BUY,BUY,0.82,STRONG BUY,True,False,STAY,0.44,0.27,0.0,['ENGULFING'],100,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",300
AARTECH,Aartech Solonics Limited,163,17546.0,0.62,60.9,DECREASING,INCREASING,36.24,-1.51,3.05,3.03,BUY,BUY,SELL,0.19,STAY,False,False,STAY,0.65,-2.4,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'HIGHWAVE', 'SPINNINGTOP']",600,,-100
AARTIDRUGS,Aarti Drugs Limited,3992,31990.0,0.45,479.95,DECREASING,INCREASING,34.33,1.91,12.17,2.41,BUY,SELL,SELL,0.53,STRONG SELL,False,False,STAY,0.31,-0.2,0.0,,0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS']",400
AARTIIND,Aarti Industries Limited,24126,2412506.0,0.33,443.15,DECREASING,INCREASING,26.9,1.38,19.75,4.03,BUY,SELL,SELL,0.58,STRONG SELL,False,False,STAY,-0.56,0.25,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HARAMI', 'HARAMICROSS', 'SPINNINGTOP']",500
AARTIPHARM,Aarti Pharmalabs Limited,3941,93663.0,0.51,653.2,INCREASING,INCREASING,53.92,4.65,26.96,-0.55,STAY,BUY,BUY,0.42,SELL,False,False,STAY,0.15,3.09,0.0,,0,,-100
AARTISURF,Aarti Surfactants Limited,419,15457.0,2.21,670.6,DECREASING,INCREASING,24.34,-6.12,33.14,-0.5,BUY,SELL,SELL,0.78,STRONG SELL,False,False,STAY,0.47,0.0,-9.6,,0,"['DOJI', 'DOJISTAR', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",400
AARVEEDEN,Aarvee Denims & Exports Limited,55,9441.0,0.38,61.95,NO TREND,INCREASING,82.34,1.41,1.88,2.75,SELL,BUY,BUY,0.03,STRONG BUY,False,True,STAY,-0.0,0.0,1.95,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300,['DOJI'],100
AARVI,Aarvi Encon Limited,176,6519.0,0.5,143.08,INCREASING,INCREASING,48.2,-2.27,5.86,3.37,STAY,BUY,SELL,0.05,STAY,False,False,STAY,0.36,-0.92,0.0,,0,,0
AATMAJ,Aatmaj Healthcare Limited,70,10000.0,0.16,29.75,NO TREND,DECREASING,60.92,-2.87,1.41,2.22,STAY,BUY,BUY,0.38,BUY,False,False,SELL,0.79,-3.25,0.0,,0,,0
AAVAS,Aavas Financiers Limited,10412,28600.0,0.26,1656.65,DECREASING,DECREASING,32.63,0.11,44.02,5.07,BUY,BUY,SELL,0.01,STAY,False,False,STAY,0.47,0.02,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
ABAN,Aban Offshore Limited,290,57775.0,0.52,62.99,DECREASING,INCREASING,35.38,-4.44,2.87,2.14,BUY,SELL,SELL,0.31,STAY,False,False,STAY,0.35,-3.06,0.0,,-100,,-100
ABB,ABB India Limited,134791,302872.0,0.64,7076.05,DECREASING,INCREASING,35.33,-3.24,264.22,0.16,BUY,SELL,SELL,0.68,BUY,False,False,STAY,-0.3,-3.02,0.0,['3INSIDE'],100,,-100
ABCAPITAL,Aditya Birla Capital Limited,45603,1678960.0,0.49,197.9,DECREASING,INCREASING,33.1,-0.85,6.99,3.04,BUY,SELL,SELL,0.51,STAY,False,False,STAY,-0.09,-1.03,0.0,,0,,0
ABCOTS,A B Cotspin India Limited,251,0.0,0.0,340.95,DECREASING,INCREASING,34.48,0.0,11.96,7.69,BUY,SELL,SELL,0.36,STAY,False,True,STAY,0.58,0.0,0.0,"['DOJI', 'MARUBOZU']",200,"['DOJI', 'TRISTAR']",200
ABFRL,Aditya Birla Fashion and Retail Limited,19509,747404.0,0.11,296.0,DECREASING,INCREASING,33.01,-1.09,11.17,3.77,BUY,SELL,SELL,0.91,STAY,False,False,STAY,-0.16,-1.04,0.0,,0,,0
ABHISHEK,Abhishek Corporation Limited,0,0.0,,180.0,NO TREND,INCREASING,100.0,0.0,0.0,0.0,SELL,BUY,SELL,,STAY,False,True,STAY,,0.0,0.0,['DOJI'],100,['DOJI'],100
ABINFRA,A B Infrabuild Limited,291,8950.0,0.5,96.6,INCREASING,INCREASING,61.29,3.6,2.31,1.52,STAY,BUY,BUY,0.74,STAY,False,True,STAY,-0.29,0.0,1.92,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'TRISTAR']",400,['DOJI'],100
