STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,22458.0,0.54,227.95,DECREASING,INCREASING,37.67,4.12,6.86,2.7,BUY,SELL,SELL,0.96,STRONG SELL,False,True,STAY,0.31,0.0,1.86,"['DOJI', 'LONGLEGGEDDOJI', 'TRISTAR']",300,['DOJI'],100
21STCENMGM,21st Century Management Services Limited,43,3405.0,0.32,101.8,DECREASING,INCREASING,37.18,4.19,2.25,0.96,BUY,SELL,SELL,0.03,STRONG SELL,False,False,STAY,0.08,1.75,0.0,,0,,0
360ONE,360 ONE WAM LIMITED,24236,15382.0,0.03,1087.15,NO TREND,INCREASING,54.86,-1.13,40.62,4.91,STAY,BUY,BUY,0.11,STAY,False,False,STAY,0.03,0.2,0.0,,-200,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",400
3IINFOLTD,3i Infotech Limited,667,146461.0,0.55,27.06,DECREASING,DECREASING,40.61,4.62,0.83,2.68,STAY,BUY,SELL,0.19,STAY,False,False,STAY,0.02,1.16,0.0,,0,['HARAMI'],100
3MINDIA,3M India Limited,35139,2423.0,0.38,32035.5,DECREASING,INCREASING,39.64,1.23,1008.77,2.2,BUY,SELL,SELL,0.02,SELL,False,False,BUY,-0.15,0.46,0.0,,0,['SPINNINGTOP'],100
3PLAND,3P Land Holdings Limited,48,435446.0,2.34,62.8,INCREASING,INCREASING,91.04,3.91,3.57,-13.43,SELL,BUY,BUY,1.0,BUY,True,True,STAY,0.83,8.28,2.55,,0,,0
5PAISA,5Paisa Capital Limited,1574,1999.0,0.08,483.75,DECREASING,INCREASING,41.5,2.06,15.06,4.45,STAY,BUY,SELL,0.6,STRONG SELL,False,False,STAY,0.83,0.36,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
63MOONS,63 moons technologies limited,1758,231402.0,0.62,592.95,INCREASING,INCREASING,58.84,3.39,35.2,0.99,STAY,BUY,BUY,0.6,STAY,False,False,STAY,-0.08,2.62,0.0,,0,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,16827.0,0.04,17.1,NO TREND,INCREASING,44.07,2.28,1.08,4.85,STAY,BUY,SELL,0.25,STAY,False,False,STAY,0.6,2.09,0.0,,0,,0
AAATECH,AAA Technologies Limited,105,3729.0,0.31,113.59,DECREASING,INCREASING,44.36,1.12,5.64,0.73,STAY,SELL,SELL,0.33,STRONG SELL,False,False,STAY,-0.21,-0.97,0.0,,0,,0
AAKASH,Aakash Exploration Services Limited,92,14834.0,0.12,10.69,DECREASING,INCREASING,44.19,3.29,0.6,2.82,STAY,BUY,SELL,0.28,STAY,False,False,STAY,-0.07,2.3,0.0,,-100,['HARAMI'],100
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,23.0,0.0,55.97,DECREASING,INCREASING,36.57,3.65,3.22,5.33,BUY,SELL,SELL,0.24,STRONG SELL,False,False,STAY,0.34,-0.04,0.0,,-100,"['DOJI', 'HARAMI', 'HARAMICROSS']",300
AARON,Aaron Industries Limited,273,5304.0,0.04,340.4,INCREASING,INCREASING,72.24,0.39,17.27,2.88,SELL,BUY,BUY,1.0,STRONG BUY,False,True,STAY,0.57,1.25,0.0,"['HIGHWAVE', 'SPINNINGTOP']",200,['GAPSIDESIDEWHITE'],100
