STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
NIBL,NRB Industrial Bearings Limited,80,12249.0,1.27,28.0,DECREASING,INCREASING,37.86,-1.99,2.09,2.53,BUY,SELL,SELL,0.73,STRONG SELL,False,False,STAY,0.03,-2.03,0.0,,-100,['HAMMER'],100
NIDAN,Nidan Laboratories and Healthcare Limited,37,6000.0,0.46,31.6,DECREASING,DECREASING,51.47,-2.62,1.11,2.15,STAY,BUY,BUY,0.07,STAY,False,False,STAY,0.03,-2.47,0.0,,0,,-100
NIITLTD,NIIT Limited,1426,8982298.0,1.35,196.94,NO TREND,DECREASING,65.2,2.96,11.33,-6.68,STAY,BUY,BUY,0.12,STRONG BUY,False,False,STAY,0.85,3.63,0.0,,0,,0
NIITMTS,NIIT Learning Systems Limited,6858,41539.0,0.66,458.6,DECREASING,INCREASING,45.12,-2.86,21.31,1.46,STAY,SELL,SELL,0.56,STRONG SELL,False,False,STAY,-0.01,-1.57,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",300,['HAMMER'],100
NILAINFRA,Nila Infrastructures Limited,405,226777.0,0.3,12.2,DECREASING,INCREASING,49.06,-0.93,0.73,4.09,STAY,BUY,BUY,0.38,STAY,False,False,STAY,0.27,1.16,0.0,,-200,,0
NILASPACES,Nila Spaces Limited,218,352008.0,1.34,12.94,INCREASING,INCREASING,62.13,2.73,0.31,1.82,STAY,BUY,BUY,0.31,STAY,False,True,STAY,-0.48,2.7,1.47,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300,['MARUBOZU'],100
NILKAMAL,Nilkamal Limited,2545,2089.0,0.29,1924.0,INCREASING,DECREASING,49.32,-3.2,55.66,-2.4,STAY,BUY,BUY,0.22,STAY,False,False,STAY,0.3,-1.23,0.0,,0,['HAMMER'],100
NINSYS,NINtec Systems Limited,908,6222.0,0.74,580.55,NO TREND,INCREASING,48.77,-2.69,35.88,1.73,STAY,BUY,BUY,0.04,STAY,False,False,STAY,0.19,-4.01,0.0,,0,,0
NIPPOBATRY,Indo-National Limited,413,5145.0,1.43,567.5,NO TREND,INCREASING,53.73,-0.26,19.35,2.88,STAY,SELL,BUY,0.32,STAY,False,False,STAY,-0.23,-0.08,0.0,['HAMMER'],100,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300
NIRAJ,Niraj Cement Structurals Limited,148,11951.0,0.89,58.95,DECREASING,INCREASING,43.83,4.34,3.2,1.91,STAY,BUY,SELL,0.93,STAY,False,False,STAY,0.68,3.6,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,['ENGULFING'],100
