STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,39237.0,0.97,223.5,DECREASING,INCREASING,32.27,4.17,7.01,2.92,BUY,SELL,SELL,0.97,STRONG SELL,False,True,STAY,0.3,0.22,1.64,['DOJI'],100,,0
21STCENMGM,21st Century Management Services Limited,43,6894.0,1.35,101.21,NO TREND,INCREASING,36.57,-2.61,2.18,0.37,BUY,SELL,SELL,0.09,STRONG SELL,False,False,STAY,0.34,-0.01,-2.05,['DOJI'],100,['DOJI'],100
360ONE,360 ONE WAM LIMITED,24236,359367.0,0.69,1082.4,NO TREND,INCREASING,56.63,-1.86,43.52,-0.31,STAY,BUY,BUY,0.03,STAY,False,False,STAY,-0.02,-1.42,0.0,,0,,0
3IINFOLTD,3i Infotech Limited,667,346465.0,1.05,26.39,DECREASING,DECREASING,33.21,-0.16,0.83,3.04,BUY,BUY,SELL,0.43,STAY,False,False,STAY,-0.12,0.38,0.0,['HAMMER'],100,['HAMMER'],100
3MINDIA,3M India Limited,35139,5256.0,0.83,30685.5,NO TREND,INCREASING,25.24,-2.49,1043.5,1.52,BUY,SELL,SELL,0.84,SELL,False,False,STAY,-0.13,-1.97,0.0,,-100,,0
3PLAND,3P Land Holdings Limited,48,50197.0,1.31,47.1,INCREASING,INCREASING,77.23,3.64,2.47,-1.42,SELL,BUY,BUY,0.87,BUY,False,False,STAY,0.72,2.84,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
5PAISA,5Paisa Capital Limited,1574,30188.0,0.82,470.6,DECREASING,INCREASING,33.75,-0.31,18.63,4.26,BUY,SELL,SELL,0.99,STRONG SELL,False,False,STAY,0.8,-0.49,0.0,,0,,0
63MOONS,63 moons technologies limited,1758,253267.0,0.51,579.2,INCREASING,INCREASING,60.17,0.22,33.88,3.91,STAY,BUY,BUY,0.73,STRONG BUY,False,False,STAY,-0.15,-0.96,0.0,,-100,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,108838.0,0.25,16.91,NO TREND,INCREASING,43.54,-0.7,0.91,1.79,STAY,BUY,SELL,0.1,STAY,False,False,STAY,0.6,-0.82,0.0,['INVERTEDHAMMER'],100,,0
AAATECH,AAA Technologies Limited,105,9898.0,0.47,108.97,DECREASING,INCREASING,37.33,1.98,6.17,4.46,BUY,SELL,SELL,0.36,STRONG SELL,False,False,STAY,-0.23,0.34,0.0,['HAMMER'],100,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
