STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
20MICRONS,20 Microns Limited,507,51621.0,1.02,225.2,DECREASING,INCREASING,37.37,-2.56,6.18,1.97,BUY,SELL,SELL,0.96,STRONG SELL,False,False,STAY,0.26,-1.23,-3.24,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300,,-100
21STCENMGM,21st Century Management Services Limited,43,3940.0,0.3,94.05,DECREASING,INCREASING,24.87,-1.72,2.3,1.26,BUY,SELL,SELL,0.66,STRONG SELL,False,False,STAY,0.05,0.0,-2.04,"['DOJI', 'DOJISTAR']",200,['DOJI'],100
360ONE,360 ONE WAM LIMITED,24236,23568.0,0.04,1143.95,NO TREND,INCREASING,60.09,1.78,37.25,3.81,STAY,BUY,BUY,0.36,STAY,False,True,STAY,-0.03,0.35,0.0,,0,,0
3IINFOLTD,3i Infotech Limited,667,92613.0,0.23,27.81,DECREASING,DECREASING,47.99,5.67,0.82,1.0,STAY,BUY,STRONG BUY,0.05,STAY,False,False,STAY,0.02,1.87,0.0,,0,,0
3MINDIA,3M India Limited,35139,39.0,0.01,31660.0,DECREASING,INCREASING,37.66,-0.49,960.5,6.03,BUY,SELL,SELL,0.73,SELL,False,False,STAY,-0.11,-0.65,0.0,,0,,0
3PLAND,3P Land Holdings Limited,48,87742.0,0.21,55.56,INCREASING,INCREASING,63.7,-9.35,4.23,-1.4,STAY,BUY,BUY,1.0,BUY,False,False,STAY,0.82,-3.39,-30.22,,-100,,0
5PAISA,5Paisa Capital Limited,1574,1637.0,0.08,497.4,DECREASING,INCREASING,39.52,2.29,16.06,4.63,BUY,BUY,STRONG BUY,0.16,STRONG SELL,False,False,STAY,0.8,0.1,0.0,,-100,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",400
63MOONS,63 moons technologies limited,1758,93872.0,0.32,611.6,INCREASING,INCREASING,62.21,1.95,30.14,3.47,STAY,BUY,BUY,0.3,STRONG BUY,False,False,STAY,0.04,-0.55,0.0,['3INSIDE'],100,,0
A2ZINFRA,A2Z Infra Engineering Limited,237,25910.0,0.12,17.26,NO TREND,INCREASING,44.94,-0.52,0.98,1.04,STAY,BUY,SELL,0.14,STAY,False,False,STAY,0.55,-1.32,0.0,,0,['HAMMER'],100
AAATECH,AAA Technologies Limited,105,1785.0,0.12,115.35,DECREASING,INCREASING,46.39,1.58,5.49,5.83,STAY,SELL,STRONG BUY,0.13,STAY,False,False,STAY,-0.19,0.93,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
AAKASH,Aakash Exploration Services Limited,92,7582.0,0.08,10.68,DECREASING,INCREASING,44.02,1.29,0.54,4.87,STAY,BUY,SELL,0.33,STAY,False,False,STAY,0.01,1.71,0.0,,0,,0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,110,25853.0,1.09,57.0,DECREASING,INCREASING,39.07,-2.19,3.48,3.27,BUY,SELL,SELL,0.99,STRONG SELL,False,False,STAY,0.14,-3.39,0.0,"['3INSIDE', 'DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",400,,-200
AARON,Aaron Industries Limited,273,5145.0,0.08,314.6,INCREASING,INCREASING,59.42,-2.15,18.26,4.2,STAY,BUY,BUY,1.0,STRONG BUY,False,False,SELL,0.55,-0.44,0.0,,0,"['DOJI', 'DOJISTAR', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'HAMMER']",500
AARTECH,Aartech Solonics Limited,163,167405.0,0.31,79.41,NO TREND,INCREASING,70.89,4.06,3.95,0.29,SELL,BUY,BUY,0.99,STRONG BUY,False,False,STAY,0.62,1.87,0.12,['ENGULFING'],100,,0
AARTIDRUGS,Aarti Drugs Limited,3992,8934.0,0.1,463.3,DECREASING,INCREASING,37.67,9.4,11.5,1.7,BUY,SELL,SELL,0.58,STRONG SELL,False,False,STAY,-0.23,0.94,0.0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",500,,0
AARTIIND,Aarti Industries Limited,24126,36184.0,0.03,453.75,DECREASING,INCREASING,41.66,0.41,14.8,5.69,STAY,SELL,SELL,0.57,STRONG SELL,False,False,STAY,-0.24,0.06,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
AARTIPHARM,Aarti Pharmalabs Limited,3941,4724.0,0.03,633.3,INCREASING,INCREASING,48.15,1.56,26.33,5.27,STAY,BUY,SELL,0.28,STAY,False,False,STAY,0.08,1.33,0.0,"['DOJI', 'GRAVESTONEDOJI', 'LONGLEGGEDDOJI']",300,,0
AARTISURF,Aarti Surfactants Limited,419,737.0,0.15,649.9,DECREASING,INCREASING,33.05,2.13,33.83,2.92,BUY,BUY,SELL,0.97,STRONG SELL,False,False,STAY,-0.22,0.72,0.0,,0,,0
AARVEEDEN,Aarvee Denims & Exports Limited,55,5086.0,0.31,73.99,INCREASING,INCREASING,90.84,0.81,1.57,0.59,SELL,BUY,BUY,0.95,STRONG BUY,False,True,STAY,-0.32,0.0,1.96,['DOJI'],100,['DOJI'],100
